"Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Days Old","Total Citations","Total Citations Per Day","Citations CrossRef Per Day","Citations PubMed Per Day","Citations Scopus Per Day","HTML Page Views Per Day","XML Downloads Per Day","PDF Downloads Per Day","Combined Downloads Per Day","Blog Postgenomic Per Day","Blog Nature Per Day","Blog Bloglines Per Day","Number of Trackbacks Per Day","Social Bookmarking – CiteULike Per Day","Social Bookmarking – Connotea Per Day","Number of Ratings Per Day",,"Number of Note threads Per Day","Number of replies to Notes Per Day","Number of Comment threads Per Day","Number of 'Star Ratings' that also include a text comment Per Day"
12/22/03,2003,"PLoS Biology","RA","Correction: Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","Science on the Rise in Developing Countries",2100,40,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/24/03,2003,"PLoS Biology","RA","JAMM: A Metalloprotease-Like Zinc Site in the Proteasome and Signalosome",2157,77,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04
01/20/04,2004,"PLoS Biology","RA","Dorsoventral Patterning of the Mouse Coat by Tbx15",2100,40,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
01/20/04,2004,"PLoS Biology","RA","Cell-Passage Activity Is Required for the Malarial Parasite to Cross the Liver Sinusoidal Cell Layer",2100,103,0.05,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.05
01/20/04,2004,"PLoS Biology","RA","Loss of Olfactory Receptor Genes Coincides with the Acquisition of Full Trichromatic Vision in Primates",2100,148,0.07,0.02,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.07
01/20/04,2004,"PLoS Biology","RA","HIV-1 Nef Binds the DOCK2?ELMO1 Complex to Activate Rac and Inhibit Lymphocyte Chemotaxis",2100,51,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
01/13/04,2004,"PLoS Biology","RA","Gene Expression Signature of Fibroblast Serum Response Predicts Human Cancer Progression: Similarities between Tumors and Wounds",2107,348,0.17,0.03,0.03,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.17
01/20/04,2004,"PLoS Biology","RA","Contribution of Noncentrosomal Microtubules to Spindle Assembly in Drosophila Spermatocytes",2100,39,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
12/15/03,2003,"PLoS Biology","RA","Similarities and Differences in Genome-Wide Expression Data of Six Organisms",2136,158,0.07,0.01,0.02,0.04,0,0,0,0,0,0,0.01,0,0,0,0,,0,0,0,0.07
01/20/04,2004,"PLoS Biology","non RA","Looking from the Past to the Future",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","Science and Technology Communication for Development",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","In Methuselah's Mould",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","The Proteasome and the Delicate Balance between Destruction and Rescue",2100,16,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
01/20/04,2004,"PLoS Biology","RA","Protein Interaction Networks by Proteome Peptide Scanning",2100,108,0.05,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.05
12/15/03,2003,"PLoS Biology","RA","Multiple Apoptotic Caspase Cascades Are Required in Nonapoptotic Roles for Drosophila Spermatid Individualization",2136,79,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04
01/20/04,2004,"PLoS Biology","non RA","A New Gene That Shapes Mouse Pigmentation Patterning",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/24/03,2003,"PLoS Biology","non RA","Structure and Implications of JAMM, a Novel Metalloprotease",2157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/15/03,2003,"PLoS Biology","non RA","A Truly Broad View of Gene Expression Spotlights Evolution and Diversity",2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","Channelling Evolution",2100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","RA","Immune Activation and CD8+ T-Cell Differentiation towards Senescence in HIV-1 Infection",2072,138,0.07,0.01,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.07
01/20/04,2004,"PLoS Biology","RA","Role of Saccharomyces Single-Stranded DNA-Binding Protein RPA in the Strand Invasion Step of Double-Strand Break Repair",2100,65,0.03,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03
02/17/04,2004,"PLoS Biology","RA","pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia",2072,29,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
01/20/04,2004,"PLoS Biology","non RA","Mechanism Suggests How HIV Protein Disrupts Immune Cell Migration",2100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","RA","Long-Lasting Novelty-Induced Neuronal Reverberation during Slow-Wave Sleep in Multiple Forebrain Areas",2100,94,0.04,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04
01/20/04,2004,"PLoS Biology","non RA","PLoS Biology in Action",2100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","Visualizing Noncentrosomal Microtubules during Spindle Assembly",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","non RA","Bridging the Science?Policy Divide",2072,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","RNAi Therapeutics: How Likely, How Soon?",2100,23,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
02/17/04,2004,"PLoS Biology","RA","Functional Bias and Spatial Organization of Genes in Mutational Hot and Cold Regions in the Human Genome",2072,49,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
02/17/04,2004,"PLoS Biology","RA","Lefty Blocks a Subset of TGF? Signals by Antagonizing EGF-CFC Coreceptors",2072,71,0.03,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03
02/17/04,2004,"PLoS Biology","RA","Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases",2072,31,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
01/20/04,2004,"PLoS Biology","non RA","Protein Essential for Malarial Parasite to Reach and Infect Liver Cells",2100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","Evolution of Primate Sense of Smell and Full Trichromatic Color Vision",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/15/03,2003,"PLoS Biology","non RA","?Suicide? Proteins Contribute to Sperm Creation",2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","non RA","Cracking the Polyketide Code",2072,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","RA","Treatment of Terminal Peritoneal Carcinomatosis by a Transducible p53-Activating Peptide",2072,79,0.04,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04
01/20/04,2004,"PLoS Biology","non RA","Brain Activity during Slow-Wave Sleep Points to Mechanism for Memory",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/20/04,2004,"PLoS Biology","non RA","Researchers Add to Proteomics Toolbox",2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
01/13/04,2004,"PLoS Biology","non RA","Gene Expression Signature of a Fibroblast Serum Response Predicts Cancer Progression",2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","non RA","Tumour Suppressor Genes?One Hit Can Be Enough",2072,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","non RA","T-Cell Differentiation and Progression of HIV Infection",2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
03/16/04,2004,"PLoS Biology","non RA","Identifying Protein Function?A Call for Community Action",2044,70,0.03,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03
03/16/04,2004,"PLoS Biology","non RA","The Strange Case of the Armored Scale Insect and Its Bacteriome",2044,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
02/17/04,2004,"PLoS Biology","RA","The Effect of Learning on the Function of Monkey Extrastriate Visual Cortex",2072,55,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03
